AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O
160.8235779,617.352356,162.8701477,208.156723,302.2793579,87.82357788,643.4949951,136.9859772,91.71674347,244.6418304,3736.799316,359.8868408,711.8508911,88.46815491,464.166626,174.1354675,351.322113,2159.45752,139.3497772,179.2502441,79.65169525,121.2388611,734.6381836,59.9416275,429.0302429,139.7600861,257.6809998,53.98558426,30.46582222,390.551178,68.02030945,97.37684631,305.9971619,465.3667297,143.8320923,68.20929718,46.29733276,52.54825592,360.0672302,110.870369,33.31752014,35.65635681,69.4666214,2762.882813,2642.063965,230.9021301,703.3555298,499.1060791,74.65879059,54.69771957,513.4785156,974.6900635,72.25252533,37.44124603,40.37568665,302.9715576,651.7581787,386.2402954,139.2483521,139.88974,64.04084015,1602.797363,95.56364441,308.0538025,59.25255966,287.5952454,166.8032074,77.54542542,524.9052734,101.9101334,557.1618652,200.780426,245.586731,615.9573364,111.8286514,85.85192108,104.9461136,156.8135223,121.6508942,292.6970215,149.4545746,591.2496338,121.8817825,120.1785812,142.9796143,6.492692947,280.5040588,134.0540924,186.8166809,31.22122765,292.9770203,149.8035431,799.0615845,187.7026062,184.5088043,224.6887054,198.8658905,46.32417679,245.2991486,69.68251038,138.8787231,386.2440796
161.3353882,617.5550537,162.6564789,207.9302216,301.9021606,87.75305939,641.1845703,136.2667236,92.18811798,244.9484711,3737.046875,358.7885132,711.2336426,88.61018372,462.9582825,172.8622742,350.6487427,2153.342529,139.2199554,179.0065613,79.60137177,121.1553345,735.1188965,59.87826538,428.3696594,140.3308105,258.3127441,53.90888977,29.98983955,391.4588318,67.85466766,97.18695831,305.4124146,465.1064453,143.7614288,68.09120178,46.15024185,52.48754501,359.5056458,110.6792145,33.27001953,35.58275604,69.39200592,2762.974121,2644.200195,230.1050873,704.3968506,497.8840637,74.34101868,54.54410934,513.1768799,972.2756348,72.47257996,37.32699203,40.11784744,302.2950134,649.4521484,388.6225891,138.7058105,139.5928345,63.98143768,1598.122681,94.85978699,307.5255432,59.27101898,287.3126221,166.9754639,77.31922913,524.0128174,101.7668533,558.8056641,200.0044098,244.8637848,614.303772,111.7691879,85.78940582,104.2101593,156.6127167,121.9310913,292.8486633,149.4082947,590.1452637,121.4791031,120.2682953,143.0133209,6.482791424,280.2740173,134.2103271,186.6495361,31.00562096,291.519989,149.4890442,789.9734497,187.2974701,184.4897003,224.2792816,198.8237915,46.13180923,244.3293915,69.55780029,138.5505066,386.4603882
161.0974731,618.3703003,162.5362549,207.9165802,301.4804382,87.6449585,638.8110352,135.4987335,92.55815887,245.333847,3736.064697,357.8507385,711.2750244,88.72885132,462.2183533,172.2506714,350.4907837,2150.775391,139.0630341,179.0028381,79.55284119,121.2197647,735.8278198,59.8567276,428.3607788,140.8964996,258.240448,53.85805893,29.57335281,392.2206116,67.75670624,97.01239777,305.5592957,465.2067261,143.6764374,68.04488373,46.07686234,52.41107941,359.5889282,110.6205215,33.2444191,35.50072098,69.33427429,2762.619141,2644.56665,229.6387329,705.0913696,496.9484253,74.24609375,54.36401749,513.1912842,971.3681641,72.448349,37.14412308,40.05125809,302.1188965,646.954895,390.162323,138.3115387,139.2498169,63.95783997,1595.075562,94.52001953,307.9361572,59.257267,287.4571533,167.0260315,77.17884064,522.9404907,102.2226563,559.8745728,199.1906128,244.430069,613.4606323,111.7198105,85.71762848,103.6751175,156.5624237,122.1214676,293.0429688,149.37146,589.3916016,121.1432266,120.3888016,143.3365936,6.480805874,280.2940063,134.3767242,186.3855438,30.87210464,290.5644836,149.3630981,782.916748,186.9769897,184.4822235,224.0993652,198.8945465,46.04608154,243.8117981,69.44538116,138.5681,386.645813
160.8930206,619.2883301,162.458252,207.9416504,301.2518921,87.56260681,637.0183716,134.935379,92.85128021,245.6385498,3736.396484,357.2299805,711.4736938,88.80427551,461.8368835,171.8148956,350.5542297,2149.505615,138.9610291,179.0196838,79.52523804,121.3246536,736.6690674,59.8505249,428.3355408,141.3978271,258.2104492,53.82387924,29.23563766,392.8627625,67.70607758,96.89472961,305.7448425,465.3135986,143.5778198,68.02849579,46.0411911,52.36311722,359.9635925,110.6100082,33.21949387,35.44055557,69.295784,2761.569336,2644.841797,229.3571014,705.6550293,496.3918457,74.20397186,54.24419022,513.2998047,970.9162598,72.41096497,36.98942947,40.00498962,302.1665649,645.1349487,391.1705322,138.0677948,139.0020752,63.96418381,1592.552246,94.30804443,308.3717651,59.28429031,287.5827026,167.0611267,77.07000732,522.1102905,102.5803223,560.836731,198.515274,244.2012482,613.0497437,111.7241745,85.66557312,103.2560425,156.556839,122.3150482,293.3255005,149.3371277,588.9180908,120.8881607,120.4554672,143.6023254,6.479725838,280.4075623,134.6336212,186.2097321,30.76161957,290.1376038,149.3082428,778.0316772,186.802124,184.6055298,224.0951843,199.0197601,45.9740715,243.5545349,69.35990143,138.6461639,386.9114685
160.6725159,620.1640015,162.3983307,207.9663849,301.1172791,87.50135803,635.6870117,134.5099945,93.06555939,245.8618622,3737.115479,356.7707214,711.7451172,88.84237671,461.6430359,171.4571686,350.6724243,2148.617676,138.8945007,179.0328522,79.5032959,121.4157944,737.4693604,59.84840775,428.3545532,141.8102264,258.18396,53.80321121,28.9628315,393.3256226,67.67406464,96.81322479,305.9417725,465.4709778,143.4930573,68.02471161,46.02554321,52.33533478,360.3579102,110.6140366,33.19905472,35.39870834,69.26774597,2760.461914,2645.116943,229.1913452,706.0776978,496.0656738,74.19559479,54.16379929,513.3845825,970.692749,72.36274719,36.87168121,39.96352005,302.2808228,643.8059082,391.8298645,137.9192657,138.8171234,63.97738647,1590.316284,94.13768768,308.7772827,59.32299805,287.6805115,167.078537,76.98825836,521.4146118,102.8020248,561.5980835,197.9819489,244.063797,612.8549805,111.7348022,85.6257019,102.9121323,156.5680084,122.4837875,293.623291,149.2952271,588.6564941,120.7033157,120.5000153,143.828598,6.478951931,280.5097351,134.8860168,186.1025391,30.67183495,289.9237976,149.2878876,774.6503906,186.6892242,184.7520905,224.157135,199.1286774,45.92054749,243.4474945,69.29198456,138.7371063,387.2333984
160.4445953,620.9107056,162.3530426,207.9814148,301.0322876,87.4569931,634.6848145,134.184494,93.22062683,246.0145874,3738.017578,356.4244385,711.9698486,88.85466766,461.5544434,171.1506805,350.790802,2147.842285,138.8496246,179.03685,79.48600769,121.4893417,738.1662598,59.8465004,428.4016113,142.1322327,258.1507874,53.79211807,28.74839592,393.6393127,67.65224457,96.75917053,306.1217651,465.6266785,143.4198608,68.02596283,46.02189636,52.32000351,360.7013855,110.6222229,33.18276596,35.36872482,69.24681091,2759.396973,2645.325195,229.0920715,706.3590698,495.8674011,74.20433807,54.10997009,513.4399414,970.572876,72.31638336,36.78328323,39.92253876,302.4138794,642.8023682,392.2642212,137.8287811,138.6741486,63.99179077,1588.364258,93.99588013,309.1178284,59.36315536,287.7557983,167.0805511,76.92237091,520.8095093,102.9459152,562.2071533,197.5680389,243.9663239,612.7779541,111.7421188,85.59456635,102.6259995,156.585907,122.6202621,293.8887634,149.2456207,588.5474243,120.5699615,120.5304337,144.0228271,6.478395939,280.5831604,135.1160583,186.0396118,30.59904289,289.7993469,149.2884216,772.1920166,186.6116486,184.898468,224.2454681,199.2256012,45.88129044,243.4212799,69.23989105,138.8227386,387.5679016
160.2175751,621.5165405,162.3191223,207.9865112,300.9754944,87.42593384,633.9123535,133.929657,93.33480835,246.1126556,3738.973877,356.1601868,712.1158447,88.85053253,461.5243835,170.8761597,350.8891907,2147.091797,138.8191528,179.0311432,79.472435,121.5477371,738.75177,59.84332275,428.4681396,142.3775177,258.1087646,53.78681564,28.58369255,393.8485413,67.6363678,96.72536469,306.2779541,465.7555847,143.3564301,68.02813721,46.02545166,52.3118248,360.9788818,110.6290817,33.16982651,35.34619522,69.22992706,2758.400391,2645.460938,229.030777,706.5276489,495.731842,74.22179413,54.07260895,513.4658813,970.4872437,72.2775116,36.71752167,39.88165665,302.5413513,642.0179443,392.5540161,137.7726135,138.5606079,64.00513458,1586.705811,93.87599182,309.3919983,59.40012741,287.8119507,167.071228,76.86614227,520.2773438,103.0386505,562.7010498,197.2473907,243.8886414,612.7625122,111.744545,85.57036591,102.388443,156.6062927,122.7287369,294.1072998,149.192337,588.5405884,120.4737396,120.5524139,144.1933746,6.478008747,280.6285706,135.3217773,186.0025024,30.54032326,289.7083435,149.3015289,770.3100586,186.5562592,185.0359955,224.342453,199.3140411,45.85153198,243.4341431,69.20115662,138.898941,387.8916321
159.9983673,621.9949951,162.2935638,207.9837341,300.9366455,87.40531921,633.3044434,133.7257233,93.42088318,246.1712799,3739.905518,355.9573975,712.1889648,88.83657837,461.5260315,170.6238708,350.9629517,2146.346436,138.798645,179.0174408,79.46202087,121.5941315,739.2374268,59.83831024,428.5472412,142.5628662,258.0588074,53.78449249,28.45984268,393.9896851,67.62427521,96.70603943,306.4104004,465.8513489,143.3010406,68.02929688,46.03318787,52.30742645,361.196228,110.6325836,33.15930939,35.32823944,69.21508789,2757.474854,2645.534668,228.9909821,706.6136475,495.6227112,74.24388123,54.04508972,513.4637451,970.4040527,72.24749756,36.66887283,39.84165955,302.65271,641.3851318,392.7506104,137.7361755,138.4689484,64.01673889,1585.321045,93.77449799,309.6074219,59.43227005,287.8514709,167.0544434,76.8164444,519.8095703,103.0920639,563.1075439,196.996994,243.8230133,612.7778931,111.7428818,85.55164337,102.1920013,156.6269379,122.8150024,294.2797546,149.1388702,588.5991211,120.4038162,120.5691376,144.3459625,6.477742195,280.6521606,135.5059662,185.9788513,30.49313354,289.6279602,149.3219757,768.8068237,186.5157318,185.1618805,224.4393768,199.3949432,45.82806015,243.4634552,69.17327881,138.9657135,388.1950073
159.7918396,622.3667603,162.2737885,207.9754944,300.909729,87.39265442,632.815918,133.5590668,93.48727417,246.202774,3740.762207,355.8007813,712.2054443,88.81713104,461.5435791,170.3894196,351.0131531,2145.609375,138.7848511,178.9976959,79.4541626,121.6313858,739.6391602,59.83145523,428.632019,142.7028198,258.0023804,53.78329468,28.36865616,394.0881958,67.61473846,96.69681549,306.5208435,465.9158936,143.2520294,68.02871704,46.04320908,52.30474854,361.364502,110.6323395,33.15036392,35.31308746,69.20110321,2756.611572,2645.554199,228.9629517,706.6399536,495.5214233,74.26846313,54.0233345,513.4361572,970.3111572,72.22561646,36.63306427,39.80333328,302.7447205,640.8592529,392.8864746,137.7106476,138.3941498,64.02648163,1584.171753,93.68863678,309.7731628,59.45940781,287.8760681,167.0329742,76.771698,519.3997803,103.113472,563.4475708,196.798584,243.7664642,612.8065796,111.7382965,85.53702545,102.030098,156.6464996,122.8841858,294.4117126,149.0871887,588.6967773,120.3522797,120.5823059,144.4839325,6.47755146,280.6598206,135.672287,185.9609375,30.45527458,289.5491943,149.3462219,767.5681152,186.4855804,185.2753906,224.5315704,199.4685516,45.80885696,243.4971008,69.15393066,139.0243988,388.4747314
159.6005859,622.6508179,162.2575989,207.9634094,300.8906555,87.38587189,632.4129028,133.4200897,93.53962708,246.216095,3741.516113,355.678833,712.1810303,88.79497528,461.5677795,170.1717529,351.0426025,2144.892822,138.7754059,178.9735718,79.44828033,121.6617355,739.972229,59.82308197,428.7170715,142.8089905,257.9407349,53.78210831,28.30326843,394.1607056,67.60708618,96.6945343,306.6118774,465.9532166,143.2080688,68.02616882,46.05427933,52.30259705,361.4937134,110.6287613,33.1423912,35.29966354,69.18735504,2755.799316,2645.522949,228.9407959,706.6224976,495.4188232,74.29415894,54.00495148,513.3865356,970.2052612,72.21067047,36.60694122,39.7671814,302.8174438,640.409729,392.9818115,137.6908112,138.3327942,64.0344696,1583.221069,93.61623383,309.8977051,59.48173904,287.8877869,167.0086975,76.73097229,519.041626,103.1098709,563.7345581,196.6381836,243.7173157,612.8373413,111.7316895,85.52548981,101.8970261,156.6641235,122.9402084,294.5099792,149.0383148,588.8149414,120.3134079,120.5927734,144.6094055,6.47740221,280.65625,135.82341,185.9439697,30.42495537,289.4693909,149.3716583,766.5245361,186.4625092,185.3770142,224.6164551,199.5349731,45.79266739,243.5290985,69.14105225,139.0763397,388.7298279
