AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O
142.9,576.86,168.62,206.16,278.94,83.58,643.56,126.22,105.06,208.95,3288.62,345.67,730.27,77.61,492.85,162.09,285.83,2474.37,150.12,176.88,71.07,116.81,706.13,54.7,451.85,140.4,245,55.08,32.71,402.8,75.49,98.85,263.03,529.1,139.99,75.05,48.35,52.72,330.05,107.89,39.08,42.25,68.05,2801.12,2795.71,217.7,617.02,410,65.89,53.81,531.12,328.54,78.61,35.04,36.78,326.05,550.16,397.22,157.09,146.14,59.54,1511.19,89.27,304.91,64.62,294.85,157.54,70.12,632.66,96.32,208.31,190.31,228.55,610.25,118.67,84.76,96.22,156.03,86.11,260.06,126.55,550.02,107.87,111.22,161.86,6.06,291.66,150.9,160.86,31.82,390.74,121.22,785.49,195.24,207.47,205.94,178.94,47.38,255.9,63.2,156.27,255.05
142.81,573.07,167.9,203.75,276.54,82.51,631.85,127.5,104.68,206.7,3246.3,344.11,721.89,76.32,492.34,162.16,285.59,2467.41,149.52,174.57,70.59,118.91,695.23,52.22,449.7,138.76,244.36,54.93,32.5,402.37,75.39,98.45,261.5,528.78,139.47,74.5,47.57,52.23,325.45,103.77,38.9,42.1,68.08,2776.95,2778.28,215.29,612.77,404.36,64.81,53.44,525.41,324.18,78,35.13,36.78,325.2,552.44,386.04,156.82,143.91,59.42,1459.32,88.05,305.1,63.44,294.23,155.64,69.22,627.04,96,206.95,185.94,225.86,605.22,117.34,83.8,94.83,156.24,84.87,255.05,124.94,546.26,105.54,110.94,162.15,5.96,288.74,151.2,159.46,31.65,389.5,117.19,791.94,193.37,206.53,204.83,179.58,47.42,253.67,62.44,155.2,253.97
141.51,580.69,164.02,203.84,275.91,82.55,627.43,126.76,105.04,201.89,3247.33,343.72,725.05,74.92,485.28,159.47,284.79,2464.7,150.16,173.61,70.24,119.71,690.62,52.33,446.87,138.51,252.74,54.28,32.13,404,75.11,98.1,254.69,538.46,136.67,74.67,48.29,53.83,323.77,104.3,38.82,42,67.37,2734.26,2728.98,214.33,615.91,404.4,64.36,52.17,527.05,324.45,78.41,35.16,36.78,319.55,546.78,384.57,157.45,140.99,59.67,1461.25,87.94,311.13,63.59,292.88,158.8,66.72,624.94,94.86,206.71,183.19,235.17,608.92,117.33,83.58,93.52,156.93,86.65,255.85,122.95,544.44,106.2,111,164.69,6.04,292.04,155.66,158.65,31.67,397.47,116.28,805.72,188.48,207.75,204.67,180.21,47.42,257.19,63,155.91,255.49
140.91,591.12,164.35,205.19,283.45,83.46,596.22,128.21,109.16,203.61,3284.28,347.81,744.42,75.25,485.01,163.85,283.65,2462.53,153.5,174.02,70.7,120.96,696.23,52.69,445.3,139.82,270.44,54.62,32.58,405.33,75.63,97.37,259.31,548.05,136.44,74.9,49.08,53.65,324.54,104.34,39.11,42.35,67.63,2758,2751.64,215.58,623.12,405.14,64.22,52.26,534.94,326,80.57,35.91,36.8,320.41,544.41,400.71,154.62,70.25,59.96,1518.43,85.33,321.5,63.42,296.31,158.96,66.38,629.76,95.73,209.39,183.1,247.2,612.34,117.46,84.14,97.58,157.99,86.71,256.36,125.04,547.12,106.64,110.76,167.86,6,296.3,161.59,155.22,32.2,407.04,116.46,811.08,187.1,208.37,209.97,181.34,47.26,266.6,64.39,161.65,266.24
143.76,607.51,168.2,208.52,289.17,84.05,597.72,132.07,111.99,206.78,3299.86,359.4,778.29,76.11,497.6,162.7,285.26,2496.22,157.33,177.53,71.72,122.41,703.67,53.99,450.66,144.78,276.01,55.65,33.43,416.42,77.45,98.64,261.17,554.51,135.71,74.68,50.13,55.62,328.53,107.78,39.41,42.45,68.15,2828.24,2823.02,218.59,629.72,408.1,65.78,53.9,543.78,330.95,81.03,35.59,37.26,329.78,567.93,406.99,155.22,72.48,60.63,1524.25,85.6,331.88,65.29,302.75,157.01,67.8,633.8,95.46,217.46,189.1,255.53,625.13,118.75,86.53,94.03,159.26,85.85,266.45,128.66,555.62,108.14,111.87,170.19,6.03,304.83,164.48,160.24,32.14,406.73,119.26,818.32,192.49,211.55,213.23,181.9,50.77,271.11,65.43,165.81,267.01
144.84,610.09,172.04,212.98,291.19,83.49,589.61,131.59,112.12,207.84,3409.02,358.85,789.4,76.4,503.25,163.63,281.19,2538.34,155.78,177.72,71.42,121.24,699.03,54.02,452.39,144.99,273.11,55.25,34.16,416.03,78.83,99.27,260.47,544.47,134.75,74.9,49.81,55.74,324.76,109.8,38.97,41.61,67.63,2833.5,2827.36,220.72,635.15,409.93,65.56,54.46,552.16,331.5,81.42,35.31,36.98,329.1,564.47,403.51,160.04,72.78,60.15,1563.09,85.58,324.21,65.65,304.21,160.02,67.68,628.29,95.56,218.62,189.81,255.02,628.99,119.15,86.89,94.01,158.81,85.11,268.35,130.2,553.24,108.71,111.45,172.73,6.02,306.26,165,160.53,32.72,409.74,117.56,843.03,194.45,210.63,214.47,181.77,48.92,270.99,65.93,167.15,266.32
146.55,622.83,173.33,212.57,292.67,82.99,595.13,133.28,116.43,203.13,3446.74,360.96,788.22,76.4,503.36,171.04,269.73,2502.13,157.54,186.23,70.12,120.5,706.88,53.22,461.95,147.68,285.35,55.19,34.23,421.07,78.89,100.95,269.7,541.28,134.71,74.25,49.89,55.66,335.34,110.01,39.09,41.93,65.9,2859.21,2855.56,220.63,638.29,410.53,64.58,54.47,564.56,332.3,82.42,34.76,36.88,326.77,568.7,417.38,159.21,73.81,59.75,1592.62,85.43,334.84,67.17,307.29,158.23,67.26,637.97,97.9,222.22,192.26,259.92,638.33,120.11,85.78,97,158.09,87.65,270.33,130.12,543.48,109.5,113.37,171.97,6.03,307.22,163.93,161.28,31.82,414.77,117.38,870.11,194.91,211.04,214.41,180.8,48.4,272.67,64.68,170.39,274.23
148.76,636.07,176.63,213.98,296.69,83.8,594.27,134.6,116.33,206.78,3444.15,366.03,800.96,77.18,510.39,179,268.13,2463.1,158.83,187.63,71.41,121.78,717.91,54.24,467.08,148.13,282.35,55.74,34.11,423.9,79.79,100.28,272.89,550.05,136.75,74.72,50.32,56.26,339.99,111.29,39.93,43.03,66.9,2876.44,2864.74,221.78,640.99,414.08,65.47,55.21,572.8,336.3,84.91,34.75,36.81,332.14,570.83,416.64,155.02,74.85,59.79,1591.26,85,333.61,67.85,308.23,160.69,67.57,639,100.39,222.9,196.95,257.71,638.24,121.81,86.5,97.52,160.1,88.19,271.7,132.5,552.11,108.66,113.49,174.19,6.02,311,165.59,164.75,31.28,410.46,118.56,864.27,198.23,212.05,215.59,185.41,48.01,277.27,64.93,170.24,276.4
149.26,632.37,176.92,213.05,298.64,84.9,608.2,133.98,116.39,209.66,3415.06,365.65,767.7,78.08,509.39,180.96,266.57,2384.18,160.09,188.39,72.06,122.65,734.01,54.71,469.77,149.48,283.33,56.2,34.46,423.7,79.16,101.34,271.26,556.54,139.2,75.97,51.21,56.01,340.78,110.11,40.2,43.21,66.86,2848.3,2835.38,223.64,642.2,413.45,65.65,55.37,570.53,339.8,85.53,34.9,36.92,331.03,565.5,414.4,153.27,74.88,60.29,1604.01,84.93,333.01,67.19,307.41,159.16,68.27,625.14,101.37,221.03,197.52,256.28,644.41,121.89,86.93,99.4,161.31,90.65,258.36,132.16,562.71,109.19,113.86,174.85,6.2,315.5,167.27,165.64,31.19,409.69,121.94,865.8,199.38,211.93,214.24,185.49,48.39,277.26,65.57,170.37,275.71
149.48,638.66,178.81,214.71,305.68,85.2,599.49,133.34,119.33,208.99,3435.01,370.65,787.56,78.7,514.15,180.6,270.21,2411.13,165.45,190.55,71.87,123.66,735.67,54.03,477.23,151.84,284.1,55.69,35.01,424.64,79.08,102.45,279.87,568.1,140.63,76.21,51.07,56.1,341.88,110.16,39.64,42.61,66.99,2855.61,2837.72,224.52,645.24,411.58,65.87,56,578.35,339.63,83.97,34.38,36.38,335.51,555.42,424.04,155.65,76.01,60.16,1583.94,85.25,339.57,67.07,310.76,175.53,68.64,653.16,101.75,226.92,201.25,259.77,663.25,122.38,86.74,97.15,159.18,94.83,243.21,133.05,569.37,110.71,114.44,173.9,6.11,321.01,168.83,166.97,31.2,417.12,116.85,894,201.29,213.14,216.08,187.09,49.14,281.01,65.61,173.74,274.78
