AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O
0.136562388,0.072313548,-0.027524793,0.041200095,0.059997047,0.081837619,-0.032963655,0.064134057,-0.108680821,0.150443595,0.137520187,0.057091616,-0.044636509,0.143147111,-0.04281726,0.132588407,0.241464762,-0.090321913,-0.079835069,-0.015216767,0.129490857,0.072530618,0.00972866,0.071725863,-0.045220334,0.007497737,0.048421351,-0.008164904,0.024405589,0.025984285,-0.083407769,0.017309301,0.188661624,-0.149020353,0.011121914,-0.020966023,-0.042256252,0.018179731,0.060924689,0.021846719,-0.102437496,-0.111035731,-0.005488598,0.036608429,-0.011765775,0.087724374,0.130978501,0.230507332,0.085472384,0.026608851,-0.048250235,-0.019574447,0.000173385,0.096055212,0.096569436,-0.09428251,0.145143071,-0.045613305,-0.059704558,-0.088606815,0.100736338,-0.045613098,0.07580372,-0.199569188,-0.017533416,0.020130694,0.062508487,0.092496836,-0.139978908,0.193327089,1.689524354,0.025069822,0.034746486,0.008014494,-0.005525554,0.087834783,0.157451346,0.042573781,0.397482989,0.124849243,0.158742244,-0.02301855,0.119722393,0.089462254,-0.157952802,0.064375893,-0.063143987,-0.07363629,0.133733954,0.015324476,-0.251502171,0.17253869,0.030409017,-0.023450361,-0.078699734,0.095989003,0.096344289,-0.015426636,-0.018371489,0.114920166,-0.080212444,0.477032809
0.003182433,0.000328334,-0.001311897,-0.001088129,-0.001247843,-0.000802956,-0.003590432,-0.005250563,0.00513946,0.001253427,6.62488E-05,-0.003051869,-0.000867104,0.001605423,-0.002603254,-0.007311511,-0.001916675,-0.002831725,-0.000931625,-0.001359456,-0.000631794,-0.000688943,0.000654353,-0.001057064,-0.001539713,0.004083601,0.002451653,-0.001420648,-0.015623496,0.002324033,-0.002435181,-0.001950032,-0.001910957,-0.00055931,-0.000491291,-0.001731368,-0.003177093,-0.001155336,-0.001559666,-0.001724126,-0.001425695,-0.00206417,-0.00107412,3.30483E-05,0.000808546,-0.003451864,0.001480504,-0.002448408,-0.004256323,-0.002808348,-0.000587436,-0.002477125,0.003045632,-0.003051554,-0.006386002,-0.002233029,-0.003538169,0.006167906,-0.003896215,-0.002122425,-0.000927572,-0.002916577,-0.007365326,-0.001714828,0.000311536,-0.000982712,0.001032693,-0.002916952,-0.001700223,-0.001405945,0.002950307,-0.003864999,-0.002943751,-0.002684544,-0.000531738,-0.000728175,-0.007012687,-0.001280538,0.002303289,0.000518085,-0.000309659,-0.001867858,-0.003303853,0.000746506,0.000235745,-0.001525026,-0.0008201,0.00116546,-0.000894699,-0.006905772,-0.004973193,-0.002099409,-0.01137351,-0.002158394,-0.00010354,-0.001822183,-0.000211695,-0.004152638,-0.003953365,-0.00178969,-0.002363332,0.000560031
-0.001474661,0.00132012,-0.000739128,-6.56055E-05,-0.001396884,-0.001231876,-0.003701797,-0.005635933,0.004013976,0.001573294,-0.000262822,-0.002613725,5.81832E-05,0.00133921,-0.001598263,-0.003538093,-0.000450476,-0.001192165,-0.001127147,-2.07989E-05,-0.00060967,0.000531799,0.000964366,-0.000359693,-2.07312E-05,0.004031111,-0.000279878,-0.000942903,-0.013887595,0.001946002,-0.001443695,-0.001796131,0.000480927,0.000215608,-0.000591198,-0.000680236,-0.001590014,-0.001456833,0.000231658,-0.000530298,-0.000769475,-0.002305472,-0.000831964,-0.000128478,0.000138588,-0.002026702,0.000985977,-0.00187923,-0.001276885,-0.003301765,2.80689E-05,-0.000933347,-0.000334347,-0.004899108,-0.001659844,-0.0005826,-0.003845169,0.003962029,-0.002842504,-0.002457272,-0.000368821,-0.001906687,-0.003581786,0.001335219,-0.000232019,0.000503045,0.000302845,-0.0018157,-0.002046375,0.004478894,0.001912845,-0.004068895,-0.001771253,-0.001372513,-0.00044178,-0.000836669,-0.005134258,-0.00032113,0.001561343,0.000663501,-0.000246537,-0.001277079,-0.002764891,0.001001979,0.002260438,-0.00030628,7.13195E-05,0.001239823,-0.001414374,-0.004306197,-0.003277667,-0.00084251,-0.008932834,-0.001711077,-4.0527E-05,-0.000802198,0.000355868,-0.001858321,-0.002118425,-0.001616197,0.000126982,0.000479803
-0.001269123,0.001484596,-0.000479911,0.000120578,-0.00075808,-0.000939605,-0.00280625,-0.004157637,0.003166888,0.001241992,8.88066E-05,-0.001734684,0.000279315,0.000850053,-0.000825302,-0.002529893,0.000181021,-0.00059038,-0.000733516,9.41086E-05,-0.000346979,0.000865279,0.001143267,-0.000103626,-5.89177E-05,0.003558126,-0.000116166,-0.000634625,-0.011419576,0.001637219,-0.000747213,-0.001212919,0.000607237,0.000229731,-0.000686386,-0.00024084,-0.000774168,-0.000915115,0.001041924,-9.50394E-05,-0.000749757,-0.001694766,-0.000555141,-0.000380003,0.000104042,-0.001226411,0.000799414,-0.001119995,-0.000567328,-0.002204165,0.000211462,-0.000465225,-0.000516009,-0.004164686,-0.001155231,0.00015778,-0.002813096,0.002584076,-0.001762282,-0.001779117,9.91879E-05,-0.001581941,-0.002242648,0.001414605,0.000456034,0.000436758,0.000210118,-0.001410144,-0.001587562,0.003498892,0.001718525,-0.003390415,-0.00093614,-0.000669788,3.90621E-05,-0.000607289,-0.004042195,-3.56709E-05,0.001585148,0.000964131,-0.000229845,-0.000803389,-0.002105491,0.000553753,0.001853901,-0.000166652,0.000405131,0.001911767,-0.000943269,-0.0035788,-0.00146914,-0.000367262,-0.006239579,-0.000935226,0.000668391,-1.86565E-05,0.000629548,-0.001563869,-0.001055171,-0.001230892,0.000563362,0.000687077
-0.001370505,0.001413996,-0.000368841,0.000118949,-0.000446845,-0.000699486,-0.002089987,-0.003152505,0.002307768,0.00090911,0.00019243,-0.001285612,0.000381495,0.000429047,-0.000419732,-0.002082049,0.000337165,-0.00041309,-0.000478755,7.3558E-05,-0.000275914,0.000751214,0.001086367,-3.53741E-05,4.43868E-05,0.002916589,-0.000102588,-0.000383994,-0.009331288,0.001178173,-0.000472822,-0.000841169,0.000644099,0.000338222,-0.00059036,-5.56264E-05,-0.000339867,-0.000530573,0.001095438,3.64191E-05,-0.000615276,-0.001180772,-0.000404614,-0.000401012,0.000104031,-0.000722699,0.000598973,-0.000657085,-0.000112893,-0.001482019,0.000165162,-0.000230206,-0.00066589,-0.003183295,-0.00103661,0.000378129,-0.002060097,0.001685537,-0.001075769,-0.001330568,0.000206407,-0.001404012,-0.001806386,0.001315028,0.000652917,0.000340107,0.000104215,-0.00106071,-0.001332436,0.002161258,0.00135753,-0.00268657,-0.00056286,-0.000317696,9.51249E-05,-0.000465429,-0.003330655,7.13443E-05,0.001379547,0.001015222,-0.000280577,-0.000444199,-0.001529058,0.00036983,0.001575689,-0.000119435,0.000364373,0.001874685,-0.000575657,-0.002918722,-0.000736913,-0.00013633,-0.00434595,-0.000604382,0.000793913,0.000276448,0.000547268,-0.001164222,-0.000439493,-0.000979195,0.000655931,0.000832051
-0.001418541,0.001204043,-0.00027887,7.22708E-05,-0.000282254,-0.00050702,-0.001576558,-0.002419898,0.001666217,0.000621183,0.000241389,-0.000970604,0.000315747,0.000138346,-0.000191907,-0.001787549,0.000337573,-0.000360879,-0.000323095,2.233E-05,-0.000217453,0.000605748,0.000944988,-3.18697E-05,0.000109858,0.002270684,-0.000128484,-0.00020618,-0.00740382,0.000797533,-0.000322429,-0.000558335,0.000588323,0.000334501,-0.000510104,1.83936E-05,-7.92354E-05,-0.000292943,0.000953151,7.40082E-05,-0.000490639,-0.000847023,-0.000302234,-0.000385784,7.87307E-05,-0.000433148,0.0003985,-0.00039969,0.000117841,-0.000993822,0.000107831,-0.000123492,-0.000640714,-0.002397449,-0.001025468,0.000440176,-0.001558762,0.001108534,-0.000656069,-0.001029951,0.000225147,-0.001227445,-0.001506385,0.001102884,0.000676927,0.000261703,1.20552E-05,-0.000855812,-0.001160502,0.001399684,0.00108453,-0.002090645,-0.000399376,-0.000125684,6.54817E-05,-0.000363624,-0.00278036,0.000114318,0.001114226,0.000904126,-0.00033227,-0.000185286,-0.00110481,0.000252435,0.001350421,-8.58151E-05,0.000261757,0.001705451,-0.000338132,-0.002373254,-0.000429253,3.57737E-06,-0.003173527,-0.000415534,0.000792292,0.000394068,0.00048674,-0.000854891,-0.000107681,-0.000751797,0.000617227,0.000863828
-0.001414945,0.00097572,-0.000208929,2.45043E-05,-0.000188662,-0.000355138,-0.001217078,-0.001899154,0.001224853,0.000398628,0.00025583,-0.000741396,0.000205059,-4.65381E-05,-6.51273E-05,-0.001603972,0.000280477,-0.000349415,-0.000219459,-3.18749E-05,-0.000170756,0.000480663,0.000793196,-5.30966E-05,0.000155294,0.001725752,-0.000162784,-9.85726E-05,-0.005729132,0.000531523,-0.000234682,-0.000349381,0.000510218,0.000276845,-0.000442273,3.19639E-05,7.72523E-05,-0.000156321,0.000769324,6.20022E-05,-0.000389945,-0.000636992,-0.000243821,-0.000361159,5.1314E-05,-0.000267554,0.000238659,-0.000273378,0.000235243,-0.000690467,5.05219E-05,-8.82286E-05,-0.000537524,-0.001787811,-0.001024036,0.000421515,-0.001220319,0.000738775,-0.000407517,-0.000818759,0.000208524,-0.001044123,-0.001275463,0.000886943,0.000622811,0.000195139,-5.58002E-05,-0.000730979,-0.001021805,0.000900816,0.000878496,-0.001622976,-0.000318415,-2.51998E-05,2.1712E-05,-0.000282733,-0.002314779,0.000130189,0.00088464,0.000743602,-0.00035702,-1.16149E-05,-0.000798059,0.000182363,0.00118417,-5.97666E-05,0.000161842,0.001522535,-0.00019947,-0.001919002,-0.000314022,8.77985E-05,-0.002437163,-0.000296816,0.0007438,0.000432494,0.000443919,-0.000648597,5.28432E-05,-0.000559424,0.000548919,0.000835287
-0.001368188,0.000769818,-0.000157458,-1.33523E-05,-0.000129077,-0.000235795,-0.000958981,-0.001522693,0.000922216,0.000238201,0.00024917,-0.000569377,0.00010268,-0.000157052,3.57067E-06,-0.001476442,0.000210212,-0.000347149,-0.00014773,-7.65364E-05,-0.000131041,0.000381697,0.000657402,-8.37606E-05,0.000184615,0.00130181,-0.000193551,-4.31918E-05,-0.004332886,0.000358371,-0.000178788,-0.000199795,0.000432438,0.00020561,-0.000386375,1.70469E-05,0.000168085,-8.40794E-05,0.000602102,3.16544E-05,-0.000317069,-0.000507998,-0.000214346,-0.000335534,2.78706E-05,-0.000173754,0.00012172,-0.000220141,0.000297582,-0.000508931,-4.16041E-06,-8.57208E-05,-0.000415261,-0.001324949,-0.001002895,0.000368077,-0.000985662,0.000500808,-0.000264479,-0.000661512,0.000181303,-0.00087273,-0.001081148,0.00069628,0.000541121,0.000137313,-0.000100464,-0.000646551,-0.000899085,0.000518382,0.000722398,-0.001269455,-0.00026909,2.51008E-05,-1.4884E-05,-0.000218797,-0.001918592,0.000131828,0.000702896,0.000586367,-0.000358375,9.9454E-05,-0.000580404,0.000138725,0.001058217,-4.11472E-05,8.40616E-05,0.001361118,-0.000127155,-0.001545161,-0.000277463,0.00013695,-0.001951467,-0.000217239,0.000680327,0.000432035,0.000405903,-0.000511909,0.000120411,-0.000402852,0.000480727,0.000782113
-0.001290811,0.000597698,-0.00012185,-3.96173E-05,-8.94424E-05,-0.000144897,-0.000771391,-0.001246256,0.000710665,0.000127936,0.000229067,-0.000439986,2.31392E-05,-0.000218911,3.80208E-05,-0.001374083,0.000143039,-0.000343402,-9.9381E-05,-0.000110296,-9.88935E-05,0.000306383,0.000543443,-0.000114559,0.000197826,0.000981698,-0.000218659,-2.22706E-05,-0.003204042,0.000250034,-0.000141025,-9.53812E-05,0.000360442,0.000138552,-0.000342016,-8.5233E-06,0.000217695,-5.11957E-05,0.00046588,-2.20677E-06,-0.000269772,-0.000428891,-0.000202047,-0.000313069,7.38272E-06,-0.000122408,3.72285E-05,-0.000204365,0.000331097,-0.000402538,-5.3729E-05,-9.57287E-05,-0.000302863,-0.000976538,-0.000961965,0.000304013,-0.000819911,0.00034593,-0.00018534,-0.000540183,0.00015219,-0.000724959,-0.000915614,0.000535326,0.000456617,8.54509E-05,-0.000128516,-0.000582511,-0.000788346,0.00020766,0.00060384,-0.001007173,-0.000231927,4.68139E-05,-4.10341E-05,-0.000170867,-0.001584306,0.000124894,0.000563314,0.00044841,-0.000346533,0.000165913,-0.000428031,0.000109218,0.000955828,-2.94447E-05,2.72933E-05,0.001227406,-9.63218E-05,-0.001241557,-0.000271955,0.000162375,-0.001611209,-0.000161656,0.000613032,0.000410773,0.000369159,-0.000419027,0.000138196,-0.000279705,0.000422301,0.000720576
-0.001196893,0.000456415,-9.9767E-05,-5.81076E-05,-6.33861E-05,-7.76099E-05,-0.00063686,-0.001040566,0.00056,5.41055E-05,0.000201538,-0.000342743,-3.42795E-05,-0.000249454,5.24337E-05,-0.001277466,8.38985E-05,-0.000333962,-6.80564E-05,-0.000134773,-7.40334E-05,0.000249522,0.000450313,-0.000139947,0.000198428,0.000743998,-0.000238934,-2.20584E-05,-0.002304929,0.000183994,-0.000113175,-2.35911E-05,0.000296991,8.01067E-05,-0.000306876,-3.7458E-05,0.000240432,-4.11337E-05,0.000357565,-3.2343E-05,-0.000240502,-0.00038014,-0.00019867,-0.000294657,-1.18123E-05,-9.67657E-05,-2.47029E-05,-0.000207055,0.000345985,-0.000340279,-9.66461E-05,-0.000109136,-0.000206935,-0.0007131,-0.000908263,0.000240214,-0.000701439,0.000242658,-0.000144044,-0.000443339,0.000124761,-0.000600114,-0.000772804,0.000402043,0.000375571,4.07076E-05,-0.000145341,-0.000530478,-0.000689554,-3.49234E-05,0.000509342,-0.000815048,-0.000201621,5.01981E-05,-5.91297E-05,-0.000134861,-0.001304242,0.000112507,0.000455898,0.000333773,-0.000327821,0.000200721,-0.000322983,8.68082E-05,0.000868422,-2.30411E-05,-1.2722E-05,0.001113883,-9.12438E-05,-0.000995532,-0.000275613,0.000170318,-0.001359592,-0.000123716,0.0005485,0.000378052,0.000332992,-0.000353416,0.000131409,-0.000186228,0.00037361,0.000656662
