AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O
0.009893993,0.001980129,0.006806783,0.031212485,-0.021846618,0.029563932,-0.032865966,-0.019498174,0.020991254,-0.017399483,0.001089789,0.015332648,-0.019916522,0.002842745,0.016332254,0.054243902,0.01003569,0.042335932,-0.008716323,-0.028238655,0.007799206,0.033351026,-0.029454615,-0.021991775,0.005563592,0.012110727,-0.00317357,0.011941944,0.099865501,0.058162139,0.017248349,0.03269954,0.021753486,-0.032476319,-0.015887522,0.077221186,0.000206868,0.02150746,-0.027519962,-0.00562212,0.052801724,0.053353278,-0.025769506,0.050954673,0.045703791,0.025532316,-0.007846921,0.010823205,-0.042018028,0.009947447,-0.015551148,-0.669526731,0.088178295,0.025761124,-0.001086366,-0.025290724,-0.033365545,-0.018482827,0.060773854,-0.047885856,0.02337573,-0.100160772,0.004953282,-0.207737879,0.071464102,0.045864075,0.003503408,-0.012116089,0.036569781,0.127868852,0.005551265,-0.028386175,-0.037035477,-0.001325565,0.055313473,0.073998986,0.061210985,0.037364537,-0.010798392,-0.000576457,-0.01884013,-0.091146436,-0.009003215,0.008249479,-0.046760895,-0.006557377,-0.025884239,0.042775206,-0.023789295,0.034796748,-0.001737264,-0.051189731,0.012908134,0.015764008,0.035951466,0.004536364,-0.013506809,0.007013815,0.024050582,0.0112,0.034969203,-0.024665392
-0.000629811,-0.006570052,-0.004269956,-0.01168995,-0.008604001,-0.012802106,-0.018195662,0.010141024,-0.003616981,-0.010768126,-0.01286862,-0.004512975,-0.011475208,-0.016621569,-0.001034798,0.000431859,-0.00083966,-0.002812837,-0.003996803,-0.013059701,-0.006753905,0.017977913,-0.015436251,-0.045338208,-0.004758216,-0.011680912,-0.002612245,-0.002723312,-0.006420055,-0.001067527,-0.001324679,-0.004046535,-0.005816827,-0.000604801,-0.003714551,-0.007328448,-0.016132368,-0.009294385,-0.013937282,-0.038187042,-0.004605937,-0.003550296,0.000440852,-0.008628691,-0.006234552,-0.01107028,-0.006887945,-0.013756098,-0.016390955,-0.006876045,-0.010750866,-0.013270835,-0.007759827,0.002568493,0,-0.002606962,0.004144249,-0.028145612,-0.00171876,-0.01525934,-0.002015452,-0.034323943,-0.013666405,0.000623135,-0.0182606,-0.002102764,-0.012060429,-0.01283514,-0.008883128,-0.003322259,-0.006528731,-0.022962535,-0.011769853,-0.008242524,-0.01120755,-0.011326097,-0.014446061,0.001345895,-0.014400186,-0.019264785,-0.012722244,-0.006836115,-0.021600074,-0.002517533,0.001791672,-0.01650165,-0.010011657,0.001988072,-0.00870322,-0.005342552,-0.003173466,-0.033245339,0.008211435,-0.009577955,-0.004530776,-0.005389919,0.003576618,0.000844238,-0.008714342,-0.012025316,-0.006847124,-0.004234464
-0.009103004,0.013296805,-0.023108993,0.000441718,-0.002278151,0.00048479,-0.006995331,-0.005803922,0.003439052,-0.02327044,0.000317284,-0.001133359,0.004377398,-0.018343816,-0.014339684,-0.016588555,-0.002801219,-0.001098318,0.004280364,-0.005499227,-0.004958209,0.006727777,-0.006630899,0.002106473,-0.006293084,-0.001801672,0.034293665,-0.011833242,-0.011384615,0.004050998,-0.00371402,-0.003555104,-0.026042065,0.01830629,-0.020076002,0.002281879,0.01513559,0.030633735,-0.005162083,0.005107449,-0.002056555,-0.002375297,-0.010428907,-0.015372981,-0.017744792,-0.004459102,0.005124272,9.89218E-05,-0.006943373,-0.02376497,0.003121372,0.000832871,0.00525641,0.000853971,0,-0.017373924,-0.010245457,-0.003807896,0.004017345,-0.020290459,0.004207338,0.001322534,-0.00124929,0.019764012,0.002364439,-0.004588247,0.020303264,-0.036116729,-0.003349069,-0.011875,-0.0011597,-0.014789717,0.041220225,0.006113479,-8.52224E-05,-0.002625298,-0.013814194,0.004416283,0.020973253,0.00313664,-0.015927645,-0.003331747,0.006253553,0.000540833,0.015664508,0.013422819,0.011428967,0.029497354,-0.005079644,0.000631912,0.020462131,-0.007765168,0.017400308,-0.025288307,0.005907132,-0.000781136,0.003508186,0,0.013876296,0.00896861,0.004574742,0.005984959
-0.004239983,0.017961391,0.00201195,0.006622841,0.027327752,0.011023622,-0.049742601,0.01143894,0.039223153,0.008519491,0.011378579,0.01189922,0.026715399,0.004404698,-0.00055638,0.027465981,-0.00400295,-0.000880432,0.022242941,0.002361615,0.006548975,0.010441901,0.008123136,0.006879419,-0.003513326,0.009457801,0.070032444,0.006263817,0.014005602,0.003292079,0.006923179,-0.007441386,0.018139699,0.017810051,-0.001682886,0.00308022,0.016359495,-0.00334386,0.002378231,0.000383509,0.007470376,0.008333333,0.003859285,0.008682422,0.008303469,0.005832128,0.011706256,0.001829871,-0.002175264,0.001725129,0.014970117,0.004777315,0.027547507,0.021331058,0.000543774,0.002691285,-0.004334467,0.041968952,-0.01797396,-0.501737712,0.004860064,0.039130881,-0.029679327,0.033330119,-0.002673376,0.011711281,0.001007557,-0.005095923,0.00771274,0.00917141,0.012965023,-0.000491293,0.051154484,0.005616501,0.001107986,0.006700168,0.043413174,0.006754604,0.000692441,0.001993355,0.01699878,0.004922489,0.004143126,-0.002162162,0.019248285,-0.006622517,0.014587043,0.03809585,-0.021619918,0.016735081,0.024077289,0.001547988,0.006652435,-0.007321732,0.002984356,0.025895344,0.006270462,-0.003374104,0.036587737,0.022063492,0.036816112,0.042076011
0.020225676,0.027727027,0.023425616,0.016228861,0.020179926,0.007069255,0.00251585,0.030106856,0.025925247,0.01556898,0.00474381,0.033322791,0.045498509,0.011428571,0.025958228,-0.007018615,0.005676009,0.013681052,0.02495114,0.020170095,0.014427157,0.011987434,0.010686124,0.024672613,0.012036829,0.035474181,0.020596066,0.018857561,0.026089626,0.027360422,0.024064525,0.013043032,0.007172882,0.011787246,-0.005350337,-0.00293725,0.021393643,0.036719478,0.012294324,0.032969139,0.007670672,0.002361275,0.007688895,0.02546773,0.025940893,0.013962334,0.01059186,0.007306116,0.024291498,0.031381554,0.016525218,0.015184049,0.005709321,-0.008911167,0.0125,0.029243781,0.043202733,0.015672182,0.003880481,0.031743772,0.011174116,0.003832906,0.003164186,0.032286159,0.029485967,0.021733995,-0.012267237,0.021391986,0.006415142,-0.002820432,0.038540522,0.032768979,0.033697411,0.020887089,0.010982462,0.028405039,-0.036380406,0.008038483,-0.009918118,0.039358714,0.028950736,0.015535897,0.014066017,0.010021668,0.013880615,0.005,0.02878839,0.01788477,0.032341193,-0.001863354,-0.000761596,0.02404259,0.00892637,0.028808124,0.015261314,0.015526028,0.003088122,0.074269996,0.016916729,0.016151576,0.025734612,0.002892127
0.007512521,0.004246844,0.022829964,0.021388836,0.00698551,-0.006662701,-0.013568226,-0.003634436,0.001160818,0.005126221,0.033080191,-0.001530328,0.014274885,0.003810275,0.011354502,0.005716042,-0.014267686,0.016873513,-0.009851904,0.001070242,-0.004182934,-0.009558043,-0.006594,0.000555658,0.003838814,0.001450477,-0.010506866,-0.007187781,0.021836674,-0.000936554,0.017817947,0.006386861,-0.002680247,-0.018106076,-0.007073908,0.002945903,-0.006383403,0.002157497,-0.01147536,0.018741882,-0.011164679,-0.019787986,-0.007630227,0.001859814,0.001537361,0.00974427,0.00862288,0.004484195,-0.003344482,0.01038961,0.015410644,0.001661882,0.004813032,-0.007867378,-0.007514761,-0.002061981,-0.0060923,-0.008550579,0.031052699,0.004139073,-0.007916873,0.025481384,-0.000233645,-0.023110763,0.005513861,0.004822461,0.019170753,-0.001769912,-0.008693594,0.001047559,0.005334314,0.003754627,-0.001995852,0.006174716,0.003368421,0.004160407,-0.000212698,-0.002825568,-0.008619685,0.007130794,0.011969532,-0.004283503,0.005270945,-0.003754358,0.014924496,-0.001658375,0.004691139,0.003161479,0.001809785,0.018046049,0.007400487,-0.01425457,0.030196011,0.010182347,-0.004348854,0.005815317,-0.000714678,-0.036438842,-0.000442625,0.007641755,0.008081539,-0.002584173
0.011806131,0.020882165,0.007498256,-0.001925063,0.005082592,-0.005988741,0.009362121,0.012842921,0.038440956,-0.022661663,0.011064763,0.005879894,-0.001494806,0,0.000218579,0.045285094,-0.040755361,-0.014265228,0.011297984,0.047884312,-0.018202184,-0.006103596,0.011229847,-0.01480933,0.021132209,0.018553004,0.044817107,-0.001085973,0.00204918,0.012114511,0.000761132,0.016923542,0.035435943,-0.005858909,-0.000296846,-0.008678238,0.001606103,-0.001435235,0.032577904,0.001912568,0.003079292,0.007690459,-0.025580364,0.009073584,0.009973969,-0.000407756,0.004943714,0.001463665,-0.014948139,0.000183621,0.022457259,0.002413273,0.012281995,-0.015576324,-0.002704164,-0.007079915,0.007493755,0.034373374,-0.005186203,0.01415224,-0.006650042,0.018892066,-0.001752746,0.032787391,0.023153085,0.010124585,-0.011186102,-0.006205674,0.015406898,0.024487233,0.016466929,0.012907644,0.019214179,0.014849203,0.008057071,-0.012774773,0.031805127,-0.00453372,0.029843732,0.007378424,-0.000614439,-0.01764153,0.007267041,0.017227456,-0.004399931,0.00166113,0.003134592,-0.006484848,0.004672024,-0.027506112,0.012276078,-0.001531133,0.032122226,0.002365647,0.001946541,-0.000279759,-0.005336414,-0.010629599,0.006199491,-0.018959503,0.019383787,0.029701111
0.015080177,0.021257807,0.019038828,0.006633109,0.013735607,0.009760212,-0.001445062,0.009903962,-0.000858885,0.017968788,-0.000751435,0.014045878,0.016163,0.010209424,0.013966147,0.046538821,-0.005931858,-0.01559871,0.008188397,0.007517586,0.018397034,0.010622407,0.01560378,0.019165727,0.011105098,0.003047129,-0.010513405,0.009965573,-0.003505697,0.006720973,0.01140829,-0.006636949,0.011827957,0.016202335,0.015143642,0.006329966,0.008618962,0.010779734,0.013866524,0.011635306,0.021488872,0.0262342,0.015174507,0.00602614,0.003214781,0.005212346,0.004230052,0.008647358,0.013781356,0.01358546,0.014595437,0.012037316,0.030211114,-0.000287687,-0.001898048,0.016433577,0.003745384,-0.001772965,-0.026317442,0.014090232,0.000669456,-0.000853939,-0.005033361,-0.003673396,0.010123567,0.003059,0.015546989,0.00460898,0.001614496,0.025434116,0.003060031,0.02439405,-0.008502616,-0.000140993,0.014153692,0.008393565,0.005360825,0.012714277,0.006160867,0.00506788,0.018290808,0.015879149,-0.007671233,0.001058481,0.012909228,-0.001658375,0.012303886,0.010126273,0.021515377,-0.016970459,-0.010391301,0.01005282,-0.006711795,0.017033503,0.004785823,0.005503475,0.025497788,-0.008057851,0.016870209,0.003865182,-0.000880333,0.007913066
0.003361119,-0.00581697,0.00164185,-0.004346201,0.006572517,0.013126492,0.023440524,-0.004606241,0.000515774,0.013927846,-0.008446206,-0.001038166,-0.04152517,0.011661052,-0.001959286,0.010949721,-0.005818073,-0.032040924,0.00793301,0.004050525,0.009102367,0.00714403,0.022426209,0.008665192,0.005759185,0.009113616,0.003470869,0.008252601,0.010260921,-0.000471809,-0.007895726,0.010570403,-0.005973103,0.011798927,0.017915905,0.016729122,0.017686804,-0.004443654,0.002323598,-0.010602929,0.006761833,0.004183128,-0.000597907,-0.009782926,-0.010248749,0.00838669,0.001887705,-0.001521445,0.002749351,0.002898026,-0.003962989,0.010407374,0.007301849,0.004316547,0.002988318,-0.003341964,-0.009337281,-0.005376344,-0.011288866,0.000400802,0.008362602,0.008012518,-0.000823529,-0.001798507,-0.00972734,-0.002660351,-0.009521439,0.010359627,-0.021690141,0.009761928,-0.008389412,0.002894136,-0.005548873,0.00966721,0.000656761,0.004971098,0.019278097,0.007557776,0.027894319,-0.04909827,-0.002566038,0.019199073,0.0048776,0.003260199,0.003788966,0.029900332,0.014469453,0.01014554,0.005402124,-0.002877238,-0.001875944,0.028508772,0.00177028,0.005801342,-0.000565904,-0.006261886,0.000431476,0.007915018,-3.60659E-05,0.009856769,0.000763628,-0.002496382
0.001473938,0.009946708,0.010682794,0.007791598,0.023573533,0.003533569,-0.014320947,-0.004776832,0.025259902,-0.00319565,0.005841771,0.013674279,0.02586948,0.007940574,0.00934451,-0.00198939,0.01365495,0.011303677,0.033481167,0.011465577,-0.002636692,0.008234815,0.00226155,-0.012429172,0.015880112,0.015788065,0.002717679,-0.009074733,0.015960534,0.002218551,-0.001010611,0.010953227,0.031740765,0.020771193,0.010272989,0.003159142,-0.002733841,0.001606856,0.003227889,0.000454091,-0.013930348,-0.013885675,0.001944361,0.002566443,0.000825286,0.003934895,0.004733728,-0.004522917,0.003351104,0.011378003,0.013706554,-0.000500294,-0.018239214,-0.014899713,-0.014626219,0.013533517,-0.017824934,0.023262548,0.015528153,0.015090812,-0.002156245,-0.012512391,0.003767809,0.019699108,-0.00178598,0.010897498,0.102852475,0.005419657,0.04482196,0.003748644,0.026647966,0.018884164,0.013617918,0.029236045,0.004020018,-0.002185667,-0.022635815,-0.013204389,0.046111418,-0.058639108,0.006734262,0.011835581,0.013920689,0.005093975,-0.005433228,-0.014516129,0.017464342,0.009326239,0.008029461,0.000320616,0.018135664,-0.04174184,0.032571033,0.009579697,0.005709432,0.008588499,0.008625802,0.01549907,0.013525211,0.000610035,0.019780478,-0.003373109
