,AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O,
,苹果(APPLE),奥多比(ADOBE),亚德诺(ANALOG),自动数据处理,欧特克(AUTODESK),美国电力,阿莱技术(ALIGN TECHNOLOGY),应用材料(APPLIED MATERIAL),超威半导体(AMD),安进(AMGEN),亚马逊(AMAZON),安西斯(ANSYS),阿斯麦,动视暴雪(ACTIVISION BLIZZARD),博通(BROADCOM),百度,生物基因(BIOGEN),BOOKING,铿腾电子(CADENCE),CDW,塞纳(CERNER),CHECK POINT SOFTWARE TECHNOLOGIES,特许通讯(CHARTER COMMUNICATIONS),康卡斯特(COMCAST),开市客(COSTCO),科帕特(COPART),CROWDSTRIKE,思科(CISCO),CSX运输,信达思(CINTAS),高知特科技(COGNIZANT),美元树(DOLLAR TREE),DOCUSIGN,德康医疗(DEXCOM),艺电(ELECTRONIC ARTS),EBAY,爱克斯龙电力(EXELON),快扣(FASTENAL),脸书(META PLATFORMS),费哲金融服务(FISERV),FOX,FOX-A,吉利德科学(GILEAD SCIENCES),谷歌(ALPHABET)-C,谷歌(ALPHABET)-A,霍尼韦尔国际(HONEYWELL INTERNATIONAL),IDEXX实验室,ILLUMINA,因塞特医疗(INCYTE),英特尔(INTEL),财捷(INTUIT),直觉外科(INTUITIVE),京东,KEURIG DR PEPPER,卡夫亨氏(KRAFT HEINZ),科天半导体(KLA),拉姆研究(LAM RESEARCH),露露乐蒙(LULULEMON),万豪国际(MARRIOTT INTL),微芯科技(MICROCHIP),亿滋国际(MONDELEZ INTL),MERCADOLIBRE,怪物饮料(MONSTER BEVERAGE),MODERNA,迈威尔科技,微软(MICROSOFT),MATCH,美光科技(MICRON TECHNOLOGY),奈飞(NETFLIX),网易,英伟达(NVIDIA),恩智浦半导体(NXP SEMICONDUCTORS),OKTA,奥莱利汽车(O REILLY AUTOMOTIVE),沛齐(PAYCHEX),帕卡(PACCAR),拼多多,百事(PEPSICO),PELOTON INTERACTIVE,PAYPAL,高通(QUALCOMM),再生元制药(REGENERON),罗斯百货(ROSS),星巴克(STARBUCKS),SEAGEN,天狼星XM,新思科技(SYNOPSYS),SPLUNK,思佳讯(SKYWORKS),携程网,ATLASSIAN,T-MOBILE US,特斯拉(TESLA),德州仪器(TEXAS INSTRUMENTS),VERISK ANALYTICS,威瑞信(VERISIGN),福泰制药(VERTEX),沃尔格林联合博姿,WORKDAY,埃克西尔能源(XCEL ENERGY),赛灵思(XILINX),ZOOM,
,收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),收盘价(元),
2016-07-01,95.89,95.32,56.63,92.75,54.34,70.14,82.54,23.89,5.07,154.28,725.68,90.65,98.44,39.61,154.22,165.19,245.06,1267.37,24.38,40.3,58.91,79.62,232.29,65.28,156.11,49.34,,28.8,26.21,98.92,57.2,93.78,,79.58,75.87,23.78,36.41,45.29,114.19,108.91,,,84.86,699.21,710.25,116.5,93.07,140.73,81.27,32.75,111.91,666.31,21.31,95.65,88.24,72.5,82.98,73.96,67.79,50.42,45.11,139.81,159.73,,9.53,51.16,,12.5,96.67,184.57,46.66,77.97,,274.23,59.44,51.84,,105.63,,36.35,53,358.5,56.35,56.99,41.31,3.97,53.77,54.56,62.6,41.13,25.62,42.99,216.5,62.11,80.93,85.34,87.74,83.06,74.34,44.78,46.19,,
2016-07-05,94.99,94.73,55.36,93.31,52.8,70.81,80.87,23.84,4.96,154.27,728.1,89.09,95.34,40.15,150.76,161.87,242.03,1275.03,24.4,39.85,58.26,79.74,231.77,65.01,155.25,49.4,,28.33,25.67,99.5,56.4,94.98,,79.05,75.89,23.76,36.21,44.38,114,109.43,,,83.89,694.49,704.89,115.23,93.38,138.67,79.71,32.68,112.74,664.67,20.86,97.34,88.74,72.11,81.89,73.28,67.09,49.84,44.9,139.82,160.91,,9.37,51.17,,11.91,97.91,186.84,47.35,76.44,,275.75,60.09,50.48,,106.42,,36.12,51.94,359.61,56.36,56.77,40.15,3.94,53.56,53.75,58.82,40.66,26.17,43.21,213.98,61.25,81.62,84.19,86.51,83.52,72.65,45.27,45.57,,
2016-07-06,95.53,95.18,55.46,93.42,52.96,71.27,81.25,24,5.04,156.05,737.61,89.26,94.89,40.51,150.63,161.56,247.48,1292.04,24.44,39.99,58.79,81.63,232.78,65.1,156.01,49.32,,28.72,25.97,99.3,56.77,94.86,,78.69,76.74,23.83,36.63,44.34,116.7,108.71,,,85.73,697.77,708.97,116.82,93.57,140.79,82.48,32.97,113.28,670.44,20.38,97.74,89.74,72.26,81.96,74.41,67.85,49.49,45.2,139.68,161.26,,9.44,51.38,,11.73,94.6,186.12,47.65,76.05,,277.38,60.84,50.79,,105.92,,35.93,52.37,371.57,56.79,56.75,40.73,3.99,53.74,54,59.16,40.22,26.97,43.15,214.44,61.06,81.66,82.98,89.66,81.55,72.6,45.33,45.48,,
2016-07-07,95.94,95.14,55.95,93.5,53.53,70.28,81.89,24.29,5.02,156.59,736.57,89.68,94.61,40.39,150.99,163.42,247.27,1297.26,24.58,39.96,59.61,81.86,234.87,66.26,163.7,48.93,,28.74,25.88,98.76,56.84,94.63,,78.21,76.62,23.93,35.7,44.72,115.85,108.43,,,85.47,695.36,707.26,116.11,93.86,140.06,83.53,33.2,114.25,675.3,20.57,97.01,89.31,72.24,82.04,75.2,68.36,50.4,45.17,142.92,161.12,,9.77,51.38,,12.2,95.1,188.44,48.89,76.47,,275.28,60.59,50.75,,107.49,,36.32,52.93,371.45,56.56,56.91,40.94,4.03,53.82,54.87,60.89,40.06,26.58,42.96,215.94,61.77,81.85,83.4,90.05,80.5,73.79,44.32,45.71,,
2016-07-08,96.68,96.79,57.74,94.47,55.14,70.71,82.93,24.93,5.1,161.1,745.81,91.42,97.22,41.29,155.14,159.8,251.3,1329.46,25.05,40.43,60.62,83.15,237.17,67.11,165.44,49.85,,29.26,26.53,99.63,57.93,95.08,,78.87,78.26,24.61,36.11,45.23,117.24,109.69,,,86.55,705.63,717.78,118.84,94.96,141.25,85.7,34,115.48,678.84,20.72,97.13,89.85,73.75,84.88,76.72,69.85,51.87,46.1,146.22,161.5,,10,52.3,,12.62,97.06,185.13,50.85,79.15,,280.61,61.33,52.12,,108.27,,37.36,54.19,378.35,58.19,56.51,41.45,4.12,54.25,56.63,62.91,40.61,26.98,43.58,216.78,63.27,83.4,85.6,88.96,81.8,75.71,44.59,46.97,,
2016-07-11,96.98,97.14,58.25,95.14,55.49,70.7,83.37,25.15,5.01,160.18,753.78,91.27,99.76,42.2,157.36,167.03,252.54,1351.03,25.38,40.91,60.1,82.48,239.87,67.41,166.72,50.01,,29.43,26.67,98.07,58.44,94.87,,79.4,79.17,24.86,36.4,45.36,117.87,110.3,,,86.25,715.09,727.2,118.57,94.6,139.64,85,34.38,115.63,673.7,21.76,96.54,89.84,74.38,86.33,76.49,70.12,52.35,45.85,149.05,161,,10,52.59,,12.64,94.67,196.62,52.02,79.84,,277.86,61.24,53,,108.91,,38.15,54.115,375.74,58.06,56.32,42.37,4.14,54.67,57.36,64.64,41.78,27.22,44.04,224.78,63.4,84.02,85.23,90.1,82.01,77.57,44.41,47.22,,
2016-07-12,97.42,97.54,58.99,94.81,57.38,69.58,84.37,25.41,5.14,161.96,748.21,91.85,100.88,42.66,158.59,164.98,253.36,1345.43,25.58,41,60.74,81.45,238.45,67.15,166.28,50.01,,29.61,27.02,97.5,58.36,94.44,,79.8,79.51,25.13,36.43,43.79,117.93,110.19,,,86.63,720.64,732.51,119.02,94.22,148.99,84.97,34.94,116.34,675.31,22.21,96.81,87.8,75.34,88.24,76.62,71.26,53.1,45.73,151.1,160.79,,10.05,53.21,,13.23,95.97,197.33,52.8,80.61,,276.13,61.01,54.14,,108.79,,38.79,54.62,368.75,57.9,57.48,42.54,4.1,54.91,59,65.8,41.95,27.3,43.64,224.65,64.38,84.48,84.99,89.63,81.22,80.48,43.5,47.48,,
2016-07-13,96.87,97.34,59.52,95.14,56.87,70.01,83.06,25.91,5.09,160.52,742.63,90.91,101.11,42.11,157.41,164.16,251.19,1338.65,25.51,40.97,60.36,81.92,237.43,66.83,166.78,49.56,,29.75,28.21,97.49,58.49,94.36,,79.33,77.62,25.12,36.75,43.3,116.78,110.57,,,85.75,716.98,729.48,119.05,93.65,145.86,82.56,35.01,115.92,672.84,21.68,97.21,89.02,75.55,88.62,76.81,70.12,53.25,45.6,149.27,161.78,,10.01,53.51,,13.29,96.43,193.63,52.78,80.68,,276.22,61.11,53.9,,109.91,,39.28,54.83,364.5,58.04,56.48,41.32,4.09,54.87,58.32,65.35,42.19,27.11,44.21,222.53,64.54,84.71,84.41,87.78,81.77,79.73,43.95,47.62,,
