AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O
300.35,334.43,120.43,170.32,187.83,93.46,283.68,62.2,49.1,240.1,1898.01,259.59,302.83,58.65,322.39,138.22,294.24,2074.58,71.44,143.88,73.62,112.26,490.43,45.37,291.49,93.48,49.44,48.42,73.19,270.79,61.92,93.78,75.9,219.38,107.34,36.3,45.43,37.23,209.78,115.52,36.46,37.07,65.23,1367.37,1368.68,180.79,265.02,327,85.97,60.84,266.16,597.26,37.73,28.74,31.61,182.57,297.89,233.42,151.49,107.6,54.33,610.19,63.7,19.23,27.375,160.62,,55.39,329.81,328.7,239.91,128.54,117.31,437.52,85.11,79.51,41.23,135.82,29.74,110.75,88.69,373.35,116.83,89.35,112.41,7.13,142.87,151.98,121.67,36.97,122.88,78.59,430.26,129.57,151.12,196.73,219.45,59.08,167.46,62.38,101.65,68.72
297.43,331.81,118.31,169.96,184.95,93.36,280.44,61.21,48.6,238.47,1874.97,256.97,297.95,58.67,314.19,133.8,290.85,2065.48,70.42,142.15,73.83,112.29,494.47,45.01,291.73,92.66,50.75,47.63,72.89,269.57,61.36,93.03,75.56,218.7,107.2,35.96,45.57,36.57,208.67,116.37,36.1,36.665,65.07,1360.66,1361.52,178.86,264.77,322.73,77.9,60.1,264.38,593.34,37.99,28.81,31.24,179.08,294.69,232.64,149.27,105.24,54.24,607.8,63.28,18.89,26.67,158.62,,54.53,325.9,324.66,236.07,127.3,118.29,438.75,84.82,78.73,40.89,135.63,30.6,108.76,87.02,369.16,116.86,88.83,112.65,7.09,141.76,152.06,118.65,36.18,123.04,78.17,443.01,127.85,152.59,200.88,217.98,59.08,168.44,62.68,99.31,67.28
299.8,333.71,116.92,170.19,187.12,93.67,285.88,59.89,48.39,240.3,1902.88,254.59,295.58,59.74,313.72,135.94,290.82,2047.4,70.85,141.08,73.99,112.8,497.45,44.67,291.81,93.49,55.11,47.8,72.51,270.27,60.745,93.03,75.39,225.99,108.78,35.78,45.635,36,212.6,116.93,36.015,36.57,65.65,1394.21,1397.81,177.51,266.93,325.53,77.34,59.93,266.41,595.76,38,29,31.31,175.05,289.19,235.43,147.34,103.73,54.15,606.55,63.38,18.13,25.68,159.03,,53.565,335.83,324.06,237.06,126.4,123.43,434.66,84.81,78.44,40.09,136.15,29.75,110.17,86.51,371.74,117.43,88.13,111,7.12,141.98,154.46,116.56,35.69,127.69,78.62,451.54,126.96,152.94,202.74,224.03,59.59,169.49,62.59,97.24,70.32
298.39,333.39,119.58,168.13,187.5,93.69,283.06,61.62,48.25,238.04,1906.86,256.67,298.79,60.335,312.64,136.7,290.09,2068.05,71.07,140.92,73.02,112.03,499.16,44.93,291.35,93.37,54.75,47.49,73,270.07,60.32,91.93,75.24,231.45,108.39,35.62,45.68,35.93,213.06,116.48,36.47,37.07,65.12,1393.34,1395.11,177.61,266.12,329.69,77.14,58.93,266.47,582.8,38.32,28.2,30.76,176.44,296.24,233.7,144.94,110.69,53.92,625,63.69,17.78,26.25,157.58,,58.27,330.75,328.03,239.93,128.04,122.89,428.77,84.34,77.92,41.21,134.01,30.4,109.67,88.97,373.13,118.8,87.86,111.32,7.07,142.96,153.41,117.67,37.33,128.15,78.92,469.06,129.41,154.22,203.21,223.79,59.29,172.95,62.46,99.46,71.9
303.19,337.87,120.66,169.71,189.95,93.41,286,61.58,47.83,238.22,1891.97,257.73,301.89,59.88,308.74,137.83,292.66,2062.9,72.28,140.71,73.445,111.48,500.77,45.39,294.69,94.01,55.66,47.52,73.38,275.28,60.73,89.79,76.27,233.23,109.49,35.595,46.005,36.2,215.22,116.8,36.42,37.11,65.8,1404.32,1405.04,177.76,271.68,332.16,76.53,58.97,272.88,581.78,38.3,27.76,30.59,176.67,299.97,237.27,146.73,109.29,54.05,633.44,63.82,17.98,26.05,160.09,,57.52,339.26,331.01,240.38,128.36,125.55,431.9,85.17,78.96,40.5,134.7,29.65,111.82,88.71,382.42,119.15,88.88,111.2,7.06,145.86,155.76,119.54,36.87,130.06,79.42,492.14,129.76,155.64,204.15,231.09,55.83,178.71,62.4,99.18,72.55
309.63,340.45,120.66,171.21,191.94,93.88,296.54,61.97,48.97,238.93,1901.05,261.43,301.38,59.34,306.26,140.86,294.3,2084.29,73.36,141.97,73.76,111.71,507.28,45.51,299.42,95.29,55.94,47.32,73.74,279.35,61.11,91.06,75.8,239.27,109.36,35.18,46.15,36.22,218.3,117.8,36.5,37.18,65.84,1419.83,1419.79,179.07,277.94,334.6,77.95,59.3,274.9,585.79,38.9,27.87,30.58,175.49,297.93,235.9,146.45,110.32,54.19,646.43,64.25,18.4,26.1,162.09,,57.31,335.66,338.37,243.02,129.18,128.52,437.37,85.745,78.45,39.66,134.79,27.87,112.57,89.91,383.47,122.13,90.53,111.83,7.05,148.67,154.52,119.65,37.12,135.41,79.81,481.34,131.33,157.14,208.88,230.26,54.68,179.48,62.54,101.51,72.62
310.33,339.81,118.57,171.09,192.36,94.34,293.33,61.47,48.165,238.26,1883.16,260.8,296.18,58.95,299.22,144.51,296.51,2086.9,73.03,142.36,73.48,112.62,505.03,44.98,297.24,95.31,57.2,47.13,73.36,278.84,60.64,91.35,74.83,237.3,108.59,34.89,46.26,36.33,218.06,117.13,36.085,36.72,65.03,1429.73,1428.96,178.68,281.64,335.53,76.47,58.94,275.25,598.72,39.11,27.88,30.7,173.01,294.34,234.84,145.39,110.83,54.25,669.48,65.34,19.14,26.5,161.34,,56.67,329.05,338.91,244.32,129.64,129.39,436.85,85.27,77.81,38.42,134.53,28.01,112.93,90.26,381.41,120.72,90.16,112.44,7,148.46,155.78,120.08,36.7,133.9,79,478.15,130,157.32,209.12,228.95,54.22,180.11,62.64,99.47,73.09
316.96,345.63,119.06,172.36,192.45,94.63,298.07,61.81,48.745,236.92,1891.3,264.05,301.45,59.24,301.18,142.26,293.9,2080.5,73.39,143.35,73.07,113.44,510.15,45.8,299.87,96.26,58.97,47.97,74.69,282.85,61.16,90.77,74.15,235.84,109.82,34.73,46.19,36.59,221.91,118.53,36.3,36.99,64.31,1439.23,1440.03,181.27,282.29,323.15,77.1,59.59,276.04,603.12,40.31,27.8,31.16,175.1,297.29,245.18,146.8,111.21,54.59,691.1,65.53,20.26,27.52,163.28,,57.45,338.92,349.53,251.98,131.98,131.16,435.5,86.26,78.06,39.35,136.53,28.53,115.28,90.97,378.93,119.97,91.08,105.47,7.05,149.93,156.46,124.51,37.65,136.07,79.4,524.86,129.95,158.02,211.75,226.49,54.06,181.92,63.37,98.95,74.03
312.68,344.63,119.53,171.23,191.11,94.98,287.61,62.35,48.21,240,1869.44,262.87,302.55,60.05,308.18,140.04,298.97,2071.48,72.605,143.96,74.21,113.68,509.62,46.03,299.75,96.34,59.24,47.79,74.66,281.52,61.37,90.57,72.8,235.06,109.58,35.35,45.81,36.82,219.06,117.55,36.54,37.26,64.2,1430.88,1430.59,180.45,284.02,317.105,81.47,59.43,272.68,602.69,40.29,27.6,31.73,177.48,300.76,243.77,147.15,110.12,54.19,652.07,65.58,20,27.51,162.13,,57.52,338.69,348.91,247.28,132.71,129.03,438.51,86.62,78.2,38.02,136.85,29.69,114.64,90.56,387.62,118.96,90.99,107.75,7.11,148.19,157.04,123.34,38.5,134.22,79.8,537.92,130.67,156.88,209.37,229.75,54.62,179.98,63.47,99.61,73.16
311.34,342.94,117.51,172.81,190.79,96.6,274.1,61.93,48.545,241.7,1862.02,264.28,300.08,59.64,303.14,139.4,293.09,2065.16,71.94,144.6,74.69,113.92,515.4,46.28,300.82,96.67,60.25,48.01,74.99,284.64,61.85,90.75,73.03,234.34,109.61,35.33,46.55,36.79,221.15,118.51,36.79,37.48,64.1,1439.2,1439.2,180.73,288.49,320.39,80.54,58.94,273,597.24,39.78,27.86,31.6,177.92,298.34,243.49,147.3,107.58,54.74,659.98,65.88,20.24,26.72,163.18,,56.17,339.07,345.68,245.57,132.5,128.57,438.15,87.37,77.46,38.67,139.2,30.86,114.85,89.67,390.75,117.77,91.54,106.65,7.17,147.91,156.02,120.42,37.56,134.91,80.27,518.5,129.17,158.65,211.74,234.15,54.43,179.18,64.47,98.83,76.94
315.24,345.38,119.13,174.88,192.5,97.31,285.03,63.21,49.77,240.5,1877.94,266.81,301.08,60.43,307.05,139.49,286.14,2054.75,73.06,144.2,75.58,114.78,508.78,46.87,303.03,97.21,62.24,49.05,76.74,286.51,62.45,91.08,73.08,234.41,111.26,35.92,46.74,37.31,221.77,120.21,38.23,39.11,63.2,1451.7,1450.16,182.26,289.92,325.96,80.62,59.66,276.87,598.29,39.56,27.62,31.73,180.91,305.95,243.71,149.02,108.82,55.19,666.46,67.1,21.01,28.25,166.17,,57.68,338.62,350.13,248.93,134.18,128.4,441.07,87.97,78.56,39.51,139.61,30.83,115.4,91.79,385.57,118.05,92.58,107.66,7.2,149.69,160.32,123.09,38.45,134.72,81.44,513.49,130.16,160.56,213.54,235.5,54.42,182.78,65.03,101.36,76.11
318.73,349.74,119.47,176.87,193.35,98.56,280.7,62.85,50.93,241.49,1864.72,270.28,300.04,61.24,308.79,139.61,285.5,2054.69,73.73,136.85,75.86,113.75,502.73,47.5,304.68,97.12,63.45,49.02,76.4,284.23,62.77,91.55,72.53,230.79,112.93,35.82,47.39,36.8,222.14,120.68,38.575,39.34,62.98,1480.39,1479.52,183.23,285.8,324.72,80.5,59.6,282.85,600.03,40.35,27.67,31.03,178.73,308,241.25,150.26,109.41,55.16,673.01,67.31,20.62,28.49,167.1,,57.66,339.67,349.82,249.28,133.84,125.83,440.68,88.24,78.52,39.43,141.26,31.7,116.04,95.91,385.94,117.68,93.62,109,7.17,151.86,157.96,124.17,38.94,132.85,82.15,510.5,131.7,160.55,214,235.83,54.41,181.06,65.37,102.89,75.56
