2021-11-01 10:22:50,381 - INFO  - main.py:<module> - LSTM + Genetic Algorithm
2021-11-01 10:22:50,631 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #1
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.10333333333333333)
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.10333333333333333)
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.10333333333333333)
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.10333333333333333)
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.10333333333333333)
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.1)
2021-11-01 10:22:52,554 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09666666666666666)
2021-11-01 10:22:52,555 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09666666666666666)
2021-11-01 10:22:52,555 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09666666666666666)
2021-11-01 10:22:52,555 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09333333333333334)
2021-11-01 10:22:52,556 - INFO  - GeneticAlgorithm.py:evaluate - 0.06525673101420246
2021-11-01 10:22:52,556 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #2
2021-11-01 10:22:54,455 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.10333333333333333)
2021-11-01 10:22:54,455 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.10333333333333333)
2021-11-01 10:22:54,455 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.10333333333333333)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.10333333333333333)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.10333333333333333)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.1)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09666666666666666)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09666666666666666)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09666666666666666)
2021-11-01 10:22:54,456 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09333333333333334)
2021-11-01 10:22:54,457 - INFO  - GeneticAlgorithm.py:evaluate - 0.06525673101420246
2021-11-01 10:22:54,457 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #3
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.10333333333333333)
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.10333333333333333)
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.10333333333333333)
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.10333333333333333)
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.10333333333333333)
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.1)
2021-11-01 10:22:56,256 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09666666666666666)
2021-11-01 10:22:56,257 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09666666666666666)
2021-11-01 10:22:56,257 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09666666666666666)
2021-11-01 10:22:56,257 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09333333333333334)
2021-11-01 10:22:56,258 - INFO  - GeneticAlgorithm.py:evaluate - 0.06525673101420246
2021-11-01 10:22:56,258 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #4
2021-11-01 10:22:57,992 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.1040268456375839)
2021-11-01 10:22:57,992 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.1040268456375839)
2021-11-01 10:22:57,992 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.1040268456375839)
2021-11-01 10:22:57,992 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.1040268456375839)
2021-11-01 10:22:57,993 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.10067114093959731)
2021-11-01 10:22:57,993 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09731543624161074)
2021-11-01 10:22:57,993 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.09731543624161074)
2021-11-01 10:22:57,993 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09731543624161074)
2021-11-01 10:22:57,993 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09731543624161074)
2021-11-01 10:22:57,993 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09395973154362416)
2021-11-01 10:22:57,994 - INFO  - GeneticAlgorithm.py:evaluate - 0.06564453951929998
2021-11-01 10:22:57,994 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #5
2021-11-01 10:22:59,755 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.1040268456375839)
2021-11-01 10:22:59,755 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.1040268456375839)
2021-11-01 10:22:59,755 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.1040268456375839)
2021-11-01 10:22:59,755 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.1040268456375839)
2021-11-01 10:22:59,756 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.10067114093959731)
2021-11-01 10:22:59,756 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09731543624161074)
2021-11-01 10:22:59,756 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.09731543624161074)
2021-11-01 10:22:59,756 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09731543624161074)
2021-11-01 10:22:59,756 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09731543624161074)
2021-11-01 10:22:59,756 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09395973154362416)
2021-11-01 10:22:59,758 - INFO  - GeneticAlgorithm.py:evaluate - 0.06564453951929998
2021-11-01 10:22:59,759 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #6
2021-11-01 10:23:01,514 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.1040268456375839)
2021-11-01 10:23:01,514 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.1040268456375839)
2021-11-01 10:23:01,514 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.1040268456375839)
2021-11-01 10:23:01,514 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.1040268456375839)
2021-11-01 10:23:01,514 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.10067114093959731)
2021-11-01 10:23:01,514 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09731543624161074)
2021-11-01 10:23:01,515 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.09731543624161074)
2021-11-01 10:23:01,515 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09731543624161074)
2021-11-01 10:23:01,515 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09731543624161074)
2021-11-01 10:23:01,515 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09395973154362416)
2021-11-01 10:23:01,516 - INFO  - GeneticAlgorithm.py:evaluate - 0.06564453951929998
2021-11-01 10:23:01,516 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #7
2021-11-01 10:23:03,303 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.1040268456375839)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.1040268456375839)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.1040268456375839)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.1040268456375839)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('SPLK.O', 0.10067114093959731)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('AMZN.O', 0.09731543624161074)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('ATVI.O', 0.09731543624161074)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('GOOGL.O', 0.09731543624161074)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('MDLZ.O', 0.09731543624161074)
2021-11-01 10:23:03,304 - INFO  - GeneticAlgorithm.py:decodeBest - ('EBAY.O', 0.09395973154362416)
2021-11-01 10:23:03,305 - INFO  - GeneticAlgorithm.py:evaluate - 0.06564453951929998
2021-11-01 10:23:03,305 - INFO  - GeneticAlgorithm.py:gaStockSelection - Generation #8
2021-11-01 10:23:05,070 - INFO  - GeneticAlgorithm.py:decodeBest - ('CTAS.O', 0.1040268456375839)
2021-11-01 10:23:05,070 - INFO  - GeneticAlgorithm.py:decodeBest - ('IDXX.O', 0.1040268456375839)
2021-11-01 10:23:05,070 - INFO  - GeneticAlgorithm.py:decodeBest - ('SGEN.O', 0.1040268456375839)
2021-11-01 10:23:05,070 - INFO  - GeneticAlgorithm.py:decodeBest - ('TEAM.O', 0.1040268456375839)
